source,target,value,uf,regiao,count,tipo,funcao
São João da Barra,Instituto D'Or de Pesquisa e Ensino,1,RJ,Sudeste,5,regiao,
Campinas,Não Localizada,1,SP,Sudeste,5,regiao,
Guarulhos,Não Localizada,1,SP,Sudeste,5,regiao,
São Paulo,Scipopulis,1,SP,Sudeste,5,regiao,
São Sebastião,Não Localizada,1,SP,Sudeste,5,regiao,
São Leopoldo,Eagle Tecnologia,1,RJ,Sudeste,4,regiao,
Rio de Janeiro,Dahua Technology,1,RJ,Sudeste,3,regiao,
Cachoeiro de Itapemirim,CyberLabs,1,ES,Sudeste,2,regiao,
Itajubá,ProntLife,1,MG,Sudeste,2,regiao,
Rio de Janeiro,CyberLabs,1,RJ,Sudeste,2,regiao,
Teresópolis,ProntLife,1,RJ,Sudeste,2,regiao,
Campinas,Unicamp,1,SP,Sudeste,2,regiao,
São Paulo,LifesHub,1,SP,Sudeste,2,regiao,
Sorocaba,Ministério da Saúde,1,SP,Sudeste,2,regiao,
Belo Horizonte,BirthTech,1,MG,Sudeste,1,regiao,
Belo Horizonte,Prefeitura de Belo Horizonte; Unimed BH; Vale,1,MG,Sudeste,1,regiao,
Betim,Prefeitura de Betim,1,MG,Sudeste,1,regiao,
Governador Valadares,JMM Tech,1,MG,Sudeste,1,regiao,
Maricá,Prefeitura de Maricá,1,RJ,Sudeste,1,regiao,
Rio de Janeiro,Unirio,1,RJ,Sudeste,1,regiao,
Volta Redonda,Prefeitura de Volta Redonda,1,RJ,Sudeste,1,regiao,
Bauru,Instituto Soma,1,SP,Sudeste,1,regiao,
Campinas,Contsec Serviços,1,SP,Sudeste,1,regiao,
Campinas,Prefeitura de Campinas,1,SP,Sudeste,1,regiao,
Guarulhos,Dyno Security,1,SP,Sudeste,1,regiao,
Santa Isabel,M4 Inteligência Digital,1,SP,Sudeste,1,regiao,
Santana de Parnaíba,Prefeitura de Santana de Parnaíba; Google,1,SP,Sudeste,1,regiao,
Santo André,Prefeitura de Santo André; Eicon Controles Inteligentes,1,SP,Sudeste,1,regiao,
Santos,Prefeitura de Santos,1,SP,Sudeste,1,regiao,
São Caetano do Sul,Prefeitura de São Caetano do Sul; USP,1,SP,Sudeste,1,regiao,
São Paulo,Prefeitura de São Paulo,1,SP,Sudeste,1,regiao,
São Paulo,Sec. Mun. da Saúde de São Paulo,1,SP,Sudeste,1,regiao,
São Paulo,SPTrans,1,SP,Sudeste,1,regiao,
Cascavel,Inloco,1,PR,Sul,27,regiao,
Curitiba,Inloco,1,PR,Sul,27,regiao,
Foz do Iguaçu,Inloco,1,PR,Sul,27,regiao,
Maringá,Inloco,1,PR,Sul,27,regiao,
Ponta Grossa,Inloco,1,PR,Sul,27,regiao,
Ijuí,Inloco,1,RS,Sul,27,regiao,
Porto Alegre,Inloco,1,RS,Sul,27,regiao,
Rio Grande,Inloco,1,RS,Sul,27,regiao,
Porto Alegre,Scipopulis,1,RS,Sul,5,regiao,
Mampituba,Eagle Tecnologia,1,RS,Sul,4,regiao,
Três Cachoeiras,Eagle Tecnologia,1,RS,Sul,4,regiao,
Passo de Torres,Eagle Tecnologia,1,SC,Sul,4,regiao,
Porto Alegre,Dahua Technology,1,RS,Sul,3,regiao,
Curitiba,Instituto Laura Fressatto,1,PR,Sul,2,regiao,
Curitiba,Unale,1,PR,Sul,2,regiao,
São José dos Pinhais,Instituto Laura Fressatto,1,PR,Sul,2,regiao,
São José dos Pinhais,Prefeitura de São José dos Pinhais,1,PR,Sul,2,regiao,
Fazenda Rio Grande,Prefeitura de Fazenda Rio Grande,1,PR,Sul,1,regiao,
Foz do Iguaçu,Prefeitura de Foz do Iguaçu,1,PR,Sul,1,regiao,
Pinhais,IDS Software e Assessoria,1,PR,Sul,1,regiao,
Umuarama,Prefeitura de Umuarama,1,PR,Sul,1,regiao,
Alegrete,Instituto Federal Farroupilha,1,RS,Sul,1,regiao,
Porto Alegre,Pix Force; UFRGS,1,RS,Sul,1,regiao,
Sapiranga,Paipe,1,RS,Sul,1,regiao,
Balneário Camboriú,Federação Catarinense de Municípios,1,SC,Sul,1,regiao,
Balneário Camboriú,Prefeitura de Balneário Camboriú; Polícia Militar SC,1,SC,Sul,1,regiao,
Blumenau,Sec. da Saúde de Blumenau,1,SC,Sul,1,regiao,
Brusque,CIGA-SC,1,SC,Sul,1,regiao,
Florianópolis,Direta Telecomunicações,1,SC,Sul,1,regiao,
Florianópolis,Intelbras,1,SC,Sul,1,regiao,
Florianópolis,Topmed,1,SC,Sul,1,regiao,
Governador Celso Ramos,Smart Tour Brasil,1,SC,Sul,1,regiao,
Itajaí,2bTriade,1,SC,Sul,1,regiao,
Itajaí,Prefeitura de Itajaí,1,SC,Sul,1,regiao,
Jaraguá do Sul,Olos Tecnologia,1,SC,Sul,1,regiao,
Jaraguá do Sul,Prefeitura de Jaraguá do Sul,1,SC,Sul,1,regiao,
Tubarão,Deconve Tech,1,SC,Sul,1,regiao,
Tubarão,New System Vendas Inst. e Monitoram.,1,SC,Sul,1,regiao,
Inloco,Monitoramento do fluxo de pessoas,27,,,27,funcao,Monitoramento do fluxo de pessoas
Instituto D'Or de Pesquisa e Ensino,Telemedicina,5,,,5,funcao,Telemedicina
Scipopulis,Monitoramento do fluxo de pessoas,5,,,5,funcao,Monitoramento do fluxo de pessoas
Eagle Tecnologia,Telemedicina,4,,,4,funcao,Telemedicina
Dahua Technology,Monitoramento de temperatura,3,,,3,funcao,Monitoramento de temperatura
Não Localizada,Monitoramento de temperatura,3,,,3,funcao,Monitoramento de temperatura
ABR Telecom,Monitoramento do fluxo de pessoas,2,,,2,funcao,Monitoramento do fluxo de pessoas
Brainy Resolution,Telemedicina,2,,,2,funcao,Telemedicina
"IMED – Inst. de Med., Estudos e Desenv.",Telemedicina,2,,,2,funcao,Telemedicina
Instituto Laura Fressatto,Telemedicina,2,,,2,funcao,Telemedicina
LifesHub,Rastreamento de contatos,2,,,2,funcao,Rastreamento de contatos
Prefeitura Campo Grande,Telemedicina,2,,,2,funcao,Telemedicina
ProntLife,Telemedicina,2,,,2,funcao,Telemedicina
Unale,Monitoramento de temperatura,2,,,2,funcao,Monitoramento de temperatura
2bTriade,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
Agência Nacional de Aviação Civil,Identificação de pessoas,1,,,1,funcao,Identificação de pessoas
BirthTech,Telemedicina,1,,,1,funcao,Telemedicina
CIGA-SC,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
Colab,Telemedicina,1,,,1,funcao,Telemedicina
Contsec Serviços,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
CyberLabs,Monitoramento do fluxo de pessoas,1,,,1,funcao,Monitoramento do fluxo de pessoas
CyberLabs,Telemedicina,1,,,1,funcao,Telemedicina
Deconve Tech,Monitoramento do fluxo de pessoas,1,,,1,funcao,Monitoramento do fluxo de pessoas
Direta Telecomunicações,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
Dyno Security,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
EduSim,Fornecimento de informações,1,,,1,funcao,Fornecimento de informações
Federação Catarinense de Municípios,Telemedicina,1,,,1,funcao,Telemedicina
HSH - Instal. e Manut. de Equip. Eletrônicos,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
Huawei,Telemedicina,1,,,1,funcao,Telemedicina
IDS Software e Assessoria,Telemedicina,1,,,1,funcao,Telemedicina
Instituto Federal Farroupilha,Telemedicina,1,,,1,funcao,Telemedicina
Instituto Soma,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Intelbras,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
JMM Tech,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
M4 Inteligência Digital,Telemedicina,1,,,1,funcao,Telemedicina
Mamba Labs,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Ministério da Saúde,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Ministério da Saúde,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
Ministério Público RN,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Não Localizada,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Não Localizada,Monitoramento do fluxo de pessoas,1,,,1,funcao,Monitoramento do fluxo de pessoas
New System Vendas Inst. e Monitoram.,Monitoramento do fluxo de pessoas,1,,,1,funcao,Monitoramento do fluxo de pessoas
Núcleo de Gestão do Porto Digital,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Nuveo Technologies,Monitoramento do fluxo de pessoas,1,,,1,funcao,Monitoramento do fluxo de pessoas
Olos Tecnologia,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
Paipe,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
Pix Force; UFRGS,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
Prefeitura de Aparecida de Goiânia,Digitalização de serviços públicos,1,,,1,funcao,Digitalização de serviços públicos
Prefeitura de Aracaju,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
Prefeitura de Balneário Camboriú; Polícia Militar SC,Monitoramento de uso de máscara,1,,,1,funcao,Monitoramento de uso de máscara
Prefeitura de Belo Horizonte; Unimed BH; Vale,Telemedicina,1,,,1,funcao,Telemedicina
Prefeitura de Betim,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
Prefeitura de Campinas,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura de Fazenda Rio Grande,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura de Foz do Iguaçu,Telemedicina,1,,,1,funcao,Telemedicina
Prefeitura de Itajaí,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura de Jaboatão dos Guararapes,Telemedicina,1,,,1,funcao,Telemedicina
Prefeitura de Jaraguá do Sul,Telemedicina,1,,,1,funcao,Telemedicina
Prefeitura de Maricá,Fornecimento de informações,1,,,1,funcao,Fornecimento de informações
Prefeitura de Santana de Parnaíba; Google,Telemedicina,1,,,1,funcao,Telemedicina
Prefeitura de Santo André; Eicon Controles Inteligentes,Digitalização de serviços públicos,1,,,1,funcao,Digitalização de serviços públicos
Prefeitura de Santos,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura de São Caetano do Sul; USP,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
Prefeitura de São José dos Pinhais,Fornecimento de informações,1,,,1,funcao,Fornecimento de informações
Prefeitura de São José dos Pinhais,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura de São Paulo,Digitalização de serviços públicos,1,,,1,funcao,Digitalização de serviços públicos
Prefeitura de Umuarama,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura de Vitória da Conquista,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura de Volta Redonda,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Prefeitura do Recife,Monitoramento do fluxo de pessoas,1,,,1,funcao,Monitoramento do fluxo de pessoas
Sec. da Fazenda de João Pessoa,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Sec. da Saúde de Blumenau,Telemedicina,1,,,1,funcao,Telemedicina
Sec. da Saúde de Manaus,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
Sec. da Saúde de Manaus,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
Sec. Mun. da Saúde de São Paulo,Telemedicina,1,,,1,funcao,Telemedicina
Smart Tour Brasil,Rastreamento de contatos,1,,,1,funcao,Rastreamento de contatos
SPTrans,Monitoramento do fluxo de pessoas,1,,,1,funcao,Monitoramento do fluxo de pessoas
Topmed,Telemedicina,1,,,1,funcao,Telemedicina
Unicamp,Monitoramento de temperatura,1,,,1,funcao,Monitoramento de temperatura
Unicamp,Telemedicina,1,,,1,funcao,Telemedicina
Unirio,Telemedicina,1,,,1,funcao,Telemedicina
Universidade Federal de Sergipe; Prefeitura de Aracaju,Mapeamento da evolução da COVID-19,1,,,1,funcao,Mapeamento da evolução da COVID-19
